02 - Federal Entitlement,Fed/State & Fed only,,,,,,,,,,,,,
Indeterminate/Unknown - relate to enrolments for which the information is inconclusive,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
"Elector Count by Division, Age Groups and Gender for all States/Territories",,,,,,,,,,,,,,
,,,,,,,,,,,,,,
As at 30 September 2019,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,16-17,18-19,20-24,25-29,30-34,35-39,40-44,45-49,50-54,55-59,60-64,65-69,70+,TOTAL
NSW,"2,215","119,709","411,536","417,742","432,132","454,356","436,576","471,356","432,706","455,191","418,502","374,373","879,801","5,306,195"
Banks,51,"2,502","8,607","8,192","8,416","8,840","8,752","9,385","9,125","9,768","8,445","6,989","18,110","107,182"
Female,27,"1,250","4,238","3,993","4,163","4,461","4,483","4,870","4,758","4,950","4,298","3,606","10,141","55,238"
Male,24,"1,249","4,364","4,194","4,250","4,379","4,269","4,515","4,367","4,818","4,147","3,383","7,969","51,928"
Indeterminate/Unknown, - ,3,5,5,3, - , - , - , - , - , - , - , - ,16
Barton,32,"2,155","8,114","8,891","9,941","10,646","9,587","9,907","9,032","8,937","7,691","6,660","17,656","109,249"
Female,18,"1,073","4,047","4,297","4,852","5,237","4,752","5,059","4,643","4,512","3,959","3,444","9,461","55,354"
Male,14,"1,079","4,062","4,589","5,084","5,406","4,833","4,847","4,387","4,425","3,730","3,216","8,195","53,867"
Indeterminate/Unknown, - ,3,5,5,5,3,2,1,2, - ,2, - , - ,28
Bennelong,81,"2,600","8,963","8,781","9,165","10,207","9,479","9,829","9,067","9,518","8,364","6,942","16,665","109,661"
Female,43,"1,288","4,261","4,165","4,402","5,060","4,716","5,110","4,719","4,817","4,327","3,603","9,249","55,760"
Male,38,"1,310","4,700","4,612","4,759","5,145","4,762","4,717","4,345","4,700","4,037","3,338","7,416","53,879"
Indeterminate/Unknown, - ,2,2,4,4,2,1,2,3,1, - ,1, - ,22
Berowra,74,"3,157","9,408","6,878","5,913","7,402","9,011","10,458","9,685","10,229","8,900","7,414","17,840","106,369"
Female,46,"1,564","4,502","3,215","2,943","3,852","4,692","5,432","5,071","5,188","4,522","3,773","9,582","54,382"
